Country,Year,total population,population of female,population of male,Percentage of Male smokers,Percentage of Female smokers,Smokers.Total,Smokers.Female,Smokers.Male
India,1980,410174640,17000640,393174000,17.6,31.4,74536824,5338201,69198624
India,1981,421446549,17476248,403970301,17.6,31.4,76586322,5487542,71098773
India,1982,432735573,17875079,414860494,17.6,31.5,78646105,5630650,73015447
India,1983,444167904,18302200,425865704,17.6,31.5,80717558,5765193,74952364
India,1984,455671115,18687536,436983579,17.6,31.5,82795687,5886574,76909110
India,1985,467045317,19036215,448009102,17.6,31.5,84846006,5996408,78849602
India,1986,478387859,19354831,459033028,17.6,31.5,86886588,6096772,80789813
India,1987,489463022,19648511,469814511,17.6,31.5,88876631,6189281,82687354
India,1988,502917317,19981917,482935400,17.5,31.4,90788016,6274322,84513695
India,1989,513332740,20225952,493106788,17.5,31.4,92644635,6350949,86293688
India,1990,526397611,20575428,505822183,17.4,31.2,94432593,6419534,88013060
India,1991,539300505,20872244,518428261,17.3,31.1,96179348,6491268,89688084
India,1992,552247879,21189841,531058038,17.2,31,97910833,6568851,91341988
India,1993,565345380,21644234,543701146,17.1,30.8,99639320,6666424,92972896
India,1994,580412338,22268131,558144207,16.9,30.5,101118156,6791780,94326371
India,1995,592337165,23001578,569335587,16.8,30.2,102594850,6946477,95648373
India,1996,608319704,23788433,584531271,16.6,30,104168720,7136530,97032191
India,1997,619000195,24855662,594144533,16.5,29.6,105391127,7357276,98033848
India,1998,635045265,26033878,609011387,16.3,29.3,106896776,7627926,99268850
India,1999,648087072,27163494,620923579,16.2,29.1,108494202,7904577,100589626
India,2000,661650311,28651330,632998981,16.1,28.8,110164421,8251583,101912836
India,2001,679192446,30384950,648807496,15.9,28.5,111820102,8659711,103160392
India,2002,691685427,32254814,659430613,15.8,28.2,113285889,9095858,104190037
India,2003,706733386,34431771,672301615,15.6,27.8,114451092,9572032,104879052
India,2004,718523218,36638316,681884902,15.4,27.3,115012540,10002260,105010275
India,2005,735540609,39089763,696450846,15,26.6,114865503,10397877,104467627
India,2006,747911253,41753473,706157780,14.6,25.7,113829672,10730643,103099036
India,2007,763955301,44598489,719356812,13.9,24.5,110917232,10926630,99990597
India,2008,775619179,47815916,727803263,13.3,23.2,107891122,11093293,96797834
India,2009,787554968,50856781,736698187,12.8,22.2,105587572,11290206,94297368
India,2010,803248301,52605762,750642539,12.6,21.9,106101619,11520662,94580960
India,2011,815177430,54237502,760939928,12.6,21.8,107702210,11823775,95878431
India,2012,833514071,55565095,777948976,12.6,21.9,110190326,12168756,98021571
